Index	Label
-----	-----
0	1-win-cazinos-club.org.ru
1	1win-official-site-casinoz.org.ru
2	1win-sloty.pp.ru
3	1wincasinoz-vhod.org.ru
4	altnloyalty.com
5	ascendohio.com
6	assuredrxservices.com
7	cazinos-official-1win.net.ru
8	cazinoz1-win.pp.ru
9	coronadynamics.com
10	ecoled.co.in
11	fontan-casino.pp.ru
12	fontan-mobile.net.ru
13	fontan-zercalo.net.ru
14	kasinos-1-win.net.ru
15	lbgenetics.com
16	lmeloyalty.com
17	mirror-wulkan-russia.org.ru
18	morriskamlay.com
19	nbesloyalty.com
20	novltyclub.com
21	rmhaddock.com
22	shoalsslty.com
23	tlflhasit1.com
24	tryhrbyloyalty.com
25	visittlfl.com
26	vulcan-24kasinos.pp.ru
27	wowlklnd.com
28	your-pc-guru.com
29	zenlfs.com
